country			state			city			zip code			name			address			phone			store hour			service
US			NY			NANUET			10954			100 NANUET MALL			85 RT 59 STE 200			8456274645			Sunday 11:00 am - 3:00 pm;Monday 9:00 am - 6:00 pm;Tuesday 9:00 am - 6:00 pm;Wednesday 9:00 am - 6:00 pm;Thursday 9:00 am - 6:00 pm;Friday 9:00 am - 6:00 pm;Saturday 9:00 am - 5:00 pm;			STORE PICK UP,Drop-off Location
US			NY			NANUET			109542215			SEARS AUTO CENTER			100 W RT 59			8456274595			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 7:30am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NJ			NEW BRUNSWICK			08901			SEARS AUTO CENTER			45 US HWY #1			7329377391			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 7:30am 7pm;Sun 10am 5pm;			STORE PICK UP,Western Union Check Cashing
US			NJ			NEW BRUNSWICK			08901			NEW BRUNSWICK-BRANCH			51 US HWY 1			7329374810			Sunday 11:00 am - 3:00 pm;Monday 9:00 am - 6:00 pm;Tuesday 9:00 am - 6:00 pm;Wednesday 9:00 am - 6:00 pm;Thursday 9:00 am - 6:00 pm;Friday 9:00 am - 6:00 pm;Saturday 9:00 am - 5:00 pm;			Drop-off Location
US			NJ			NEW BRUNSWICK			08901			NEW BRUNSWICK - A			51 US HWY 1			7329377355			Sunday 10:30 am - 6:30 pm;Monday 10:00 am - 9:00 pm;Tuesday 10:00 am - 9:00 pm;Wednesday 10:00 am - 9:00 pm;Thursday 10:00 am - 9:00 pm;Friday 10:00 am - 9:00 pm;Saturday 9:30 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,HEARING AIDS FITTING,OPTICAL,TAX SERVICES & PREPARATION,LE Shops,HAS WEBSITE,RESERVE AND PAY,SHIP FROM STORE,Cross Format STS
US			NY			MASSAPEQUA			117584334			SUNRISE MALL			800 SUNRISE MALL			5167972400			Sunday 10:00 am - 7:00 pm;Monday 10:00 am - 9:30 pm;Tuesday 10:00 am - 9:30 pm;Wednesday 10:00 am - 9:30 pm;Thursday 10:00 am - 9:30 pm;Friday 10:00 am - 9:30 pm;Saturday 9:00 am - 9:30 pm;			GIFT REGISTRY,STORE PICK UP,Drop-off Location,OPTICAL,TAX SERVICES & PREPARATION,LE Shops,HAS WEBSITE,RESERVE AND PAY,Free Wifi: Wireless Hotspot,Cross Format STS
US			NJ			ROCKAWAY			07866			SEARS AUTO CENTER			RT 80 & MT HPE AVE			9739897295			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NY			MASSAPEQUA			117584701			SEARS AUTO CENTER			34 CARMANS RD			5167980039			Mon 8am 7pm;Tue 8am 7pm;Wed 8am 7pm;Thu 8am 7pm;Fri 8am 7pm;Sat 8am 7pm;Sun 10am 5pm;			STORE PICK UP
US			NY			MELVILLE			117473502			MELVILLE SERVICE BRANCH			120 SPAGNOLI RD SUITE 2			6315313580			Sunday 11:00 am - 3:00 pm;Monday 9:00 am - 6:00 pm;Tuesday 9:00 am - 6:00 pm;Wednesday 9:00 am - 6:00 pm;Thursday 9:00 am - 6:00 pm;Friday 9:00 am - 6:00 pm;Saturday 9:00 am - 5:00 pm;			Drop-off Location,Western Union Check Cashing
US			NY			MELVILLE			11747			MELVILLE - SVC CENTRAL			35 MELVILLE PK RD STE 200			6312492200			Sunday 8:00 am - 9:00 pm;Monday CLOSED;Tuesday CLOSED;Wednesday CLOSED;Thursday CLOSED;Friday CLOSED;Saturday 8:00 am - 10:00 pm;			
